"U:0","U:1","U:2","arc_length","Points:0","Points:1","Points:2"
41.933,-3.0346,-4.1004e-20,0.023172,0.0762,0.023172,0
41.959,-3.0331,-4.2922e-20,0.023172,0.0762,0.023172,0
42.629,-2.994,-4.3365e-20,0.024433,0.0762,0.024433,0
42.653,-2.9924,-4.2571e-20,0.024433,0.0762,0.024433,0
43.31,-2.9473,4.0136e-21,0.025808,0.0762,0.025808,0
43.33,-2.9457,4.7461e-21,0.025808,0.0762,0.025808,0
43.913,-2.8921,3.141e-22,0.02731,0.0762,0.02731,0
43.928,-2.8903,1.1349e-21,0.02731,0.0762,0.02731,0
44.357,-2.8233,6.3292e-20,0.028953,0.0762,0.028953,0
44.366,-2.8212,6.2629e-20,0.028953,0.0762,0.028953,0
44.593,-2.7363,-5.6504e-20,0.030754,0.0762,0.030754,0
44.596,-2.734,-5.7455e-20,0.030754,0.0762,0.030754,0
44.634,-2.6319,-6.553e-21,0.032732,0.0762,0.032732,0
44.634,-2.6295,-4.7937e-21,0.032732,0.0762,0.032732,0
44.558,-2.5153,1.0283e-19,0.034909,0.0762,0.034909,0
44.556,-2.5129,1.0251e-19,0.034909,0.0762,0.034909,0
44.468,-2.393,-4.9025e-20,0.037308,0.0762,0.037308,0
44.467,-2.3908,-5.0382e-20,0.037308,0.0762,0.037308,0
44.45,-2.2702,-3.7123e-20,0.039961,0.0762,0.039961,0
44.45,-2.2682,-3.6729e-20,0.039961,0.0762,0.039961,0
44.514,-2.1465,-1.6712e-21,0.042901,0.0762,0.042901,0
44.515,-2.1446,-1.1714e-21,0.042901,0.0762,0.042901,0
44.593,-2.0166,3.0139e-20,0.046167,0.0762,0.046167,0
44.594,-2.0148,2.9952e-20,0.046167,0.0762,0.046167,0
44.627,-1.8776,-3.4345e-20,0.049807,0.0762,0.049807,0
44.627,-1.8759,-3.4735e-20,0.049807,0.0762,0.049807,0
44.639,-1.7327,-3.1369e-20,0.053874,0.0762,0.053874,0
44.639,-1.7312,-3.1106e-20,0.053874,0.0762,0.053874,0
44.665,-1.5856,1.7068e-20,0.058434,0.0762,0.058434,0
44.665,-1.5841,1.7225e-20,0.058434,0.0762,0.058434,0
